Athletics at the 1968 Summer Olympics - Men's 1500 metres,26,311
Cross Country Skiing at the 1992 Winter Olympics - Men's 10km,38,29
Gymnastics at the 1952 Summer Olympics - Men's pommel horse,18,306
Rowing at the 1956 Summer Olympics - Men's Single Sculls,20,2
Speed Skating at the 1980 Winter Olympics - Women's 3000m,31,391
Swimming at the 2000 Summer Olympics - Men's 4x100 metre freestyle relay,42,756
Swimming at the 1984 Summer Olympics - Men's 1500 metre freestyle,33,704
Swimming at the 1996 Summer Olympics - Men's 200 metre butterfly,40,685
Diving at the 1920 Summer Olympics - Men's plain high diving,7,423
Athletics at the 1956 Summer Olympics - Men's 800 metres,20,414
Fencing at the 2004 Summer Olympics - Women's Foil; Individual,44,65
Shooting at the 1924 Summer Olympics - Men's 100 metre running deer; double shots,8,752
Fencing at the 2008 Summer Olympics - Men's Sabre; Individual,46,148
Wrestling at the 1984 Summer Olympics - Men's Freestyle Lightweight,33,218
Cycling at the 2008 Summer Olympics - Men's Keirin,46,753
Wrestling at the 1992 Summer Olympics -Men's Freestyle Bantamweight,37,532
Swimming at the 2008 Summer Olympics - Men's 100 metre breaststroke,46,142
Canoeing at the 1980 Summer Olympics - Men's C-1 1000 metres,32,259
Athletics at the 1924 Summer Olympics - Men's discus throw,8,60
Judo at the 2008 Summer Olympics – Men's Half Lightweight (66 kg),46,585
Swimming at the 2008 Summer Olympics - Men's 200 metre backstroke,46,319
Cross-country skiing at the 1932 Winter Olympics - Men's 50 km,12,180
Canoeing at the 1948 Summer Olympics - Men's C-1 1000 metres,16,259
Wrestling at the 1984 Summer Olympics - Men's Freestyle Featherweight,33,369
Athletics at the 1920 Summer Olympics - Men's 3000 metre steeplechase,7,510
Swimming at the 2000 Summer Olympics - Women's 200 metre breaststroke,42,95
Athletics at the 1988 Summer Olympics - Men's 5000 metres,36,505
Swimming at the 2000 Summer Olympics - Women's 50 metre freestyle,42,57
Swimming at the 1904 Summer Olympics - Men's 440 yard freestyle,3,438
Athletics at the 1928 Summer Olympics - Men's 200 metres,11,157
Judo at the 2004 Summer Olympics - Women's 52 kg,44,283
Snowboarding at the 2006 Winter Olympics - Women's Halfpipe,45,608
Shooting at the 1900 Summer Olympics - Men's 300 metre rifle; three positions,2,242
Athletics at the 1936 Summer Olympics – Men's high jump,14,166
Cycling at the 2000 Summer Olympics - Men's 1000m Time Trial,42,520
Fencing at the 1972 Summer Olympics - Men's Sabre; Individual,27,148
Athletics at the 1972 Summer Olympics - Men's 200 metres,27,157
Weightlifting at the 1988 Summer Olympics - Men's Light Heavyweight 75-82.5 kg,36,739
Gymnastics at the 1980 Summer Olympics – Women's Floor,32,45
Swimming at the 1972 Summer Olympics - Men's 400 metre freestyle,27,6
Nordic combined at the 2010 Winter Olympics – Individual large hill/10 km,47,102
Weightlifting at the 1988 Summer Olympics - Men's Middleweight 67.5-75 kg,36,202
Ice hockey at the 1998 Winter Olympics – Men’s Team,41,269
Gymnastics at the 1992 Summer Olympics – Women's Uneven Bars,37,257
Shooting at the 1968 Summer Olympics - Men's 25 metre rapid fire pistol,26,509
Wrestling at the 1960 Summer Olympics - Men's Greco-Roman Bantamweight,22,454
Boxing at the 1976 Summer Olympics - Lightweight,30,97
Figure Skating at the 1972 Winter Olympics - Men's Singles,28,567
Wrestling at the 1948 Summer Olympics - Men's Freestyle Light Heavyweight,16,32
Fencing at the 1996 Summer Olympics - Men's Sabre; Individual,40,148
Cross-Country Skiing at the 1972 Winter Olympics - Men's 50km,28,180
Boxing at the 1952 Summer Olympics - Light Welterweight,18,171
Boxing at the 1960 Summer Olympics - Light Heavyweight,22,440
Fencing at the 1960 Summer Olympics - Men's Sabre; Individual,22,148
Boxing at the 1992 Summer Olympics - Welterweight,37,548
