Iocode,event,medal,medalist
POL,Cycling at the 2008 Summer Olympics - Women's cross-country,2,Maja W?oszczowska
AUS,Swimming at the 1960 Summer Olympics – Men's 100 metre backstroke,1,David Theile
USA,Weightlifting at the 1956 Summer Olympics - Men's Middleweight 67.5-75 kg,2,Peter George
KOR,Wrestling at the 1988 Summer Olympics - Men's Greco-Roman Featherweight,3,Dae-Hyun An
USA,Athletics at the 1956 Summer Olympics - Men's hammer throw,1,Harold Vincent Connolly
USA,Swimming at the 1968 Summer Olympics – Men's 100 metre backstroke,2,Charles Hickcox
USA,Swimming at the 1968 Summer Olympics – Men's 100 metre freestyle,2,Kenneth Walsh
USA,Athletics at the 1976 Summer Olympics - Men's 400 metre hurdles,2,Michael Shine
USA,Boxing at the 1976 Summer Olympics - Light Welterweight,1,Sugar Ray Leonard
POL,Cycling at the 1968 Summer Olympics - Men's 1000m Time Trial,3,Janusz Kierzkowski
CHN,Table Tennis at the 2008 Summer Olympics - Men's Singles,2,Wang Hao
SWE,Wrestling at the 1948 Summer Olympics - Men's Freestyle Flyweight,3,Thure Johansson
ITA,Cycling at the 2004 Summer Olympics - Men's individual road race,,Cristian Moreni
CHN,Short Track Speed Skating at the 2006 Winter Olympics - Women's 1000m,3,Yang Yang
USA,Athletics at the 1960 Summer Olympics - Men's 400 metre hurdles,2,Clifton Cushman
AUS,Cycling at the 2000 Summer Olympics - Men's cross-country,,Paul Rowney
BUL,Judo at the 1980 Summer Olympics - Men's Heavyweight  (+95kg,2,Dimitar Zaprianov
GBR,Athletics at the 1908 Summer Olympics - Men's 3500 metre walk,1,George Larner
ITA,Athletics at the 1932 Summer Olympics - Men's 1500 metres,1,Luigi Beccali
SWE,Speed Skating at the 1968 Winter Olympics - Men's 10000m,1,Johnny Höglin
GDR,Swimming at the 1980 Summer Olympics - Women's 400 metre freestyle,1,Ines Diers
USA,Gymnastics at the 1904 Summer Olympics - Men's Vault,1,George Eyser
JPN,Judo at the 1972 Summer Olympics - Men's Lightweight (63kg),1,Takao Kawaguchi
HUN,Fencing at the 1972 Summer Olympics - Women's Foil; Individual,2,Ildiko Bobis-Ferkasinszky
FRA,Alpine Skiing at the 1984 Winter Olympics - Men's Slalom,3,Didier Bouvet
SWE,Cross Country Skiing at the 1984 Winter Olympics - Men's 30km,3,Gunde Svan
EUA,Athletics at the 1964 Summer Olympics - Men's pole vault,3,Klaus Lehnertz
BLR,Freestyle Skiing at the 1998 Winter Olympics - Men's Aerials,3,Dmitri Dashchinski
ITA,Fencing at the 1932 Summer Olympics - Men's Sabre; Individual,2,Giulio Gaudini
AUS,Canoeing at the 1992 Summer Olympics - Men's K-1 1000 metres,1,Clint Robinson
JPN,Judo at the 1984 Summer Olympics - Open Category,1,Yasuhiro Yamashita
NZL,Sailing at the 1992 Summer Olympics - Women's Sailboard,1,Barbara Kendall
JPN,Gymnastics at the 1956 Summer Olympics – Men's rings,3,Masami Kubota
CAN,Athletics at the 1900 Summer Olympics - Men's 2500 metre steeplechase,1,George Orton
NED,Speed Skating at the 1994 Winter Olympics - Men's 1500m,2,Rintje Ritsma
HUN,Fencing at the 1972 Summer Olympics - Men's Foil; Individual,2,Jenö Kamuti
BEL,Athletics at the 1948 Summer Olympics – Men's marathon,3,Etienne Gailly
ROU,Gymnastics at the 1976 Summer Olympics – Women's Floor,3,Nadia Comaneci
IRI,Wrestling at the 1976 Summer Olympics - Men's Freestyle Welterweight,2,Mansour Barzegar
CHN,Weightlifting at the 2008 Summer Olympics - Men's Light Heavyweight 77-85 kg,1,Lu Yong
URS,Athletics at the 1980 Summer Olympics - Men's decathlon,2,Yuri Kutsenko
SUI,Alpine Skiing at the 1988 Winter Olympics - Men's Combined,3,Paul Accola
CUB,Boxing at the 1980 Summer Olympics - Light Flyweight,2,Hipólito Ramos
FIN,Wrestling at the 1920 Summer Olympics - Men's Greco-Roman Lightweight,1,Emil Väre
USA,Golf at the 1900 Summer Olympics – Men's individual,1,Charles Sands
USA,Athletics at the 1900 Summer Olympics - Men's pole vault,2,Meredith Colkett
NOR,Alpine Skiing at the 1992 Winter Olympics - Men's Giant Slalom,3,Kjetil André Aamodt
GBR,Canoeing at the 2012 Summer Olympics – Men's K-2 200 metres,3,Jonathon Schofield;Liam Heath
USA,Boxing at the 2012 Summer Olympics – Women's flyweight,3,Marlen Esparza
CHN,Swimming at the 2012 Summer Olympics – Women's 400 metre individual medley,3,Li Xuanxu
UKR,Boxing at the 2012 Summer Olympics – Men's light welterweight,2,Denys Berinchyk
AUS,Cycling at the 2012 Summer Olympics – Women's Omnium,3,Annette Edmondson
USA,Swimming at the 2012 Summer Olympics – Men's 200 metre butterfly,2,Michael Phelps
CZE,Athletics at the 2012 Summer Olympics – Women's 400 metres hurdles,3,Zuzana Hejnová
ITA,Gymnastics at the 2012 Summer Olympics – Women's rhythmic group all-around,3,Romina Laurito;Elisa Blanchi;Anzhelika Savrayuk;Andreea Stefanescu;Elisa Santoni;Marta Pagnini
PRK,Judo at the 2012 Summer Olympics – Women's 52 kg,1,An Kum-Ae
USA,Swimming at the 2004 Summer Olympics - Men's 4 x 100 metre freestyle relay,3,Gary Hall; Jr.;Jason Lezak;Nate Dusing;Ian Crocker;Neil Walker;Michael Phelps;Gabe Woodward
GER,Shooting at the 2004 Summer Olympics - Men's 10 metre running target,1,Manfred Kurzer
UZB,Boxing at the 2000 Summer Olympics - Super Heavyweight,3,Rustam Saidov
URS,Swimming at the 1972 Summer Olympics - Women's 100 metre breaststroke,2,Galina Prozumenshchikova
BEL,Cycling at the 2004 Summer Olympics - Men's individual road race,3,Axel Merckx
CHN,Gymnastics at the 2000 Summer Olympics – Women's artistic individual all-around,3,Liu Xuan
USA,Swimming at the 2004 Summer Olympics - Men's 400 metre individual medley,1,Michael Phelps
URS,Boxing at the 1964 Summer Olympics - Welterweight,2,Ri?ardas Tamulis
RUS,Shooting at the 2004 Summer Olympics - Men's 25 metre rapid fire pistol,2,Sergei Poliakov
KAZ,Wrestling at the 2004 Summer Olympics - Men's Greco-Roman Lightweight,3,Mkkhitar Manukyan
USA,Canoeing at the 1984 Summer Olympics - Men's K-1 1000 metres,3,Greg Barton
POL,Boxing at the 1988 Summer Olympics - Light Heavyweight,3,Henryk Petrich
ITA,Modern Pentathlon at the 1988 Summer Olympics - Men's Individual,2,Carlo Massullo
USA,Athletics at the 2000 Summer Olympics - Men's pole vault,2,Lawrence Johnson
RUS,Wrestling at the 2000 Summer Olympics - Men's Freestyle Featherweight,1,Mourad Oumakhanov
DEN,Badminton at the 2000 Summer Olympics Women's Singles,2,Camilla Martin
URS,Gymnastics at the 1988 Summer Olympics – Men's artistic individual all-around,3,Dmitry Bilozerchev
USA,Boxing at the 1972 Summer Olympics - Light Welterweight,1,Ray P. Seales
URS,Athletics at the 1988 Summer Olympics - Men's Pole Vault,3,Grigoriy Yegorov
DEN,Swimming at the 1988 Summer Olympics – Men's 200 metre butterfly,2,Benny Nielsen
BUL,Wrestling at the 2004 Summer Olympics - Men's Greco-Roman Featherweight,3,Armen Nazarian
ESP,Canoeing at the 2004 Summer Olympics - Men's C-1 1000 metres,1,David Cal
URS,Gymnastics at the 1988 Summer Olympics – Women's Balance Beam,2,Yelena Shushunova
WGE,Swimming at the 1984 Summer Olympics - Men's 200 metre freestyle,3,Thomas Fahrner
PHI,Athletics at the 1936 Summer Olympics – Men's 400 metre hurdles,3,Miguel White
URS,Gymnastics at the 1968 Summer Olympics – Women's balance beam,1,Natalia Kuchinskaya
TCH,Wrestling at the 1928 Summer Olympics - Men's Greco-Roman Bantamweight,2,Jindrich Maudr
AUT,Fencing at the 1936 Summer Olympics - Women's Foil; Individual,3,Ellen Preis
JPN,Judo at the 2004 Summer Olympics - Women's 52 kg,2,Yuki Yokosawa
GER,Modern Pentathlon  at the 1936 Summer Olympics - Men's Individual,1,Gotthard Handrick
LUX,Cycling at the 2004 Summer Olympics - Men's individual road race,,Kim Kirchen
GRE,Athletics at the 2004 Summer Olympics - Women's Discus Throw,2,Anastasia Kelesidou
GDR,Athletics at the 1980 Summer Olympics - Men's 400 metres,3,Frank Schaffer
URS,Gymnastics at the 1980 Summer Olympics – Men's parallel bars,1,Aleksandr Tkachev
IRI,Taekwondo at the 2004 Summer Olympics - Men's 68 kg,1,Hadi Saei Bonehkohal
GDR,Athletics at the 1980 Summer Olympics - Women's 400 metres,1,Marita Koch
PAN,Athletics at the 1948 Summer Olympics – Men's 200 metres,3,Lloyd LaBeach
TPE,Taekwondo at the 2000 Summer Olympics - Men's 58 kg,3,Huang Chih-hsiung
ITA,Cycling at the 1952 Summer Olympics - Men's individual road race,,Gianni Ghidini
AUS,Swimming at the 1972 Summer Olympics - Women's 200 metre breaststroke,1,Beverley Whitfield
NED,Athletics at the 1980 Summer Olympics - Men's marathon,2,Gerard Nijboer
ITA,Athletics at the 1996 Summer Olympics - Men's 3000 metre steeplechase,3,Alessandro Lambruschini
FIN,Athletics at the 1928 Summer Olympics – Men's 3000 metre steeplechase,3,Ove Andersen
URS,Gymnastics at the 1980 Summer Olympics – Women's Floor,3,Natalia Shaposhnikova
SWE,Canoeing at the 1964 Summer Olympics - Men's K-1 1000 metres,1,Rolf Peterson
GDR,Athletics at the 1972 Summer Olympics - Women's 200 metres,1,Renate Stecher
FRA,Swimming at the 1988 Summer Olympics - Men's 100 metre freestyle,3,Stéphan Caron
USA,Athletics at the 1964 Summer Olympics - Men's long jump,2,Ralph Boston
RSA,Boxing at the 1928 Summer Olympics - Bantamweight,3,Harry Isaacs
WGE,Athletics at the 1972 Summer Olympics - Women's Long Jump,1,Heidemarie Rosendahl
FIN,Wrestling at the 1924 Summer Olympics - Men's Greco-Roman Middleweight,2,Arthur Lindfors
AUS,Rowing at the 1928 Summer Olympics - Men's Single Sculls,1,Bobby Pearce
URS,Gymnastics at the 1988 Summer Olympics – Men's parallel bars,1,Vladimir Artemov
WGE,Swimming at the 1984 Summer Olympics - Women's 100 metre butterfly,3,Karin Seick
URS,Weightlifting at the 1964 summer Olympics - Men's Heavyweight +90 kg,1,Leonid Zhabotinsky
GBR,Canoeing at the 2004 Summer Olympics - Men's slalom K-1,2,Campbell Walsh
CHN,Shooting at the 2000 Summer Olympics - Women's 10 metre air pistol,1,Tao Luna
JPN,Wrestling at the 1968 Summer Olympics - Men's Freestyle Featherweight,1,Masaki Kaneko
AUS,Swimming at the 2004 Summer Olympics - Men's 100 metre freestyle,3,Ian Thorpe
JPN,Gymnastics at the 1968 Summer Olympics – Men's rings,3,Sawao Kato
WGE,Swimming at the 1972 Summer Olympics - Men's 200 metre freestyle,3,Werner Lampe
USA,Athletics at the 1968 Summer Olympics - Men's 200 metres,1,Tommie Smith
URS,Canoeing at the 1980 Summer Olympics - Men's C-1 500 metres,1,Sergei Postrekhin
RUS,Athletics at the 2000 Summer Olympics - Women's 400 metres hurdles,1,Irina Privalova
GER,Gymnastics at the 1936 Summer Olympics - Men's Parallel Bars,3,Alfred Schwarzmann
NOR,Nordic Combined at the 1928 Winter Olympics - Individual,1,Johan Grøttumsbråten
ITA,Wrestling at the 1948 Summer Olympics - Men's Greco-Roman flyweight,1,Pietro Lombardi
POL,Weightlifting at the 1968 Summer Olympics - Men's Bantamweight -56 kg,3,Henryk Trebicki
USA,Wrestling at the 1984 Summer Olympics Men's Freestyle Bantamweight,2,Barry Davis
USA,Canoeing at the 1948 Summer Olympics - Men's C-1 10000 metres,2,Frank Havens
JPN,Judo at the 2004 Summer Olympics - Women's +78 kg,1,Maki Tsukada
URS,Gymnastics at the 1960 Summer Olympics – Men's vault,3,Vladimir Portnoi
KEN,Athletics at the 1972 Summer Olympics - Men's 400 metres,3,Julius Sang
JPN,Athletics at the 1936 Summer Olympics – Men's triple jump,1,Naoto Tajima
SWE,Athletics at the 1948 Summer Olympics - Men's triple jump,1,Arne Åhman
FRA,Rowing at the 1900 Summer Olympics - Men's Single Sculls,1,Henri Barrelet
BEL,Weightlifting at the 1920 Summer Olympics - Men's Lightweight 60-67.5 kg,3,Florimond Rooms
RUS,Athletics at the 2004 Summer Olympics - Women's Triple Jump,3,Tatyana Lebedeva
GRE,Gymnastics at the 2000 Summer Olympics – Men's rings,2,Dimosthenis Tampakos
AUT,Cycling at the 2004 Summer Olympics - Men's individual road race,,Gerrit Glomser
USA,Swimming at the 1920 Summer Olympics - Women's 300 metre freestyle,2,Margaret Woodbridge
USA,Athletics at the 2008 Summer Olympics - Men's 110 metre hurdles,2,David Payne
ITA,Athletics at the 1984 Summer Olympics - Men's 10000 metres,1,Alberto Cova
KEN,Athletics at the 2004 Summer Olympics - Men's 3;000 metre Steeplechase,2,Brimin Kipruto
SWE,Swimming at the 1924 Summer Olympics - Men's 400 metre freestyle,2,Arne Borg
FIN,Wrestling at the 1936 Summer Olympics - Men's Freestyle Heavyweight,3,Hjalmar Nyström
URS,Cycling at the 1968 Summer Olympics - Men's individual road race,,Vladislav Nelyubin
GBR,Athletics at the 1984 Summer Olympics - Men's Marathon,3,Charles Spedding
CHN,Table Tennis at the 2004 Summer Olympics - Men's Singles,3,Liqin Wang
INA,Weightlifting at the 2004 Summer Olympics - Women's 53 kg,2,Raema Lisa Rumbewas
KEN,Athletics at the 1984 Summer Olympics - Men's 10000 metres,3,Michael Musyoki
POL,Athletics at the 2000 Summer Olympics - Women's hammer throw,1,Kamila Skolimowska
AUS,Swimming at the 1964 Summer Olympics – Men's 400 metre freestyle,3,Allan Wood
NED,Equestrian at the 2000 Summer Olympics - Dressage; Individual,1,Anky van Grunsven
RSA,Cycling at the 2004 Summer Olympics - Men's individual road race,,Ryan Cox
WGE,Wrestling at the 1984 Summer Olympics - Men's Freestyle Welterweight,2,Martin Knosp
ITA,Wrestling at the 1948 Summer Olympics - Greco-Roman Middleweight,3,Ercole Gallegati
USA,Diving at the 1936 Summer Olympics - Women's 3 metre springboard,1,Marjorie Gestring
RUS,Gymnastics at the 2004 Summer Olympics - Women's rhythmic individual all-around,1,Alina Kabaeva
EST,Weightlifting at the 1920 Summer Olympics - Men's Featherweight 60 kg,2,Alfred Schmidt
CAN,Swimming at the 1984 Summer Olympics - Men's 200 metre individual medley,1,Alex Baumann
CAN,Short track speed skating at the 2010 Winter Olympics – Men's 5000 metre relay,1,Charles Hamelin;Francois Hamelin;Guillaume Bastille;François-Louis Tremblay;Olivier Jean
GRE,Volleyball at the 2004 Summer Olympics - Women's Beach Volleyball,,Efthalia Koutroumanidou;Vasiliki Arvaniti
NOR,Biathlon at the 2006 Winter Olympics - Men's 10km Sprint,2,Halvard Hanevold
,Athletics at the 2008 Summer Olympics - Men's high jump,,Filippo Campioli
FRA,Cycling at the 1948 Summer Olympics - Men's individual road race,1,José Beyaert
USA,Volleyball at the 1992 Summer Olympics - Men's volleyball,3,Eric Sato;Nick Becker;Douglas Partie;Daniel Robert Greenbaum;Steve Timmons;Bryan Ivie;Scott Fortune;Bob Ctvrtlik;Brent Hilliard;Carlos Briceno;Jeff Stork;Bob Samuelson
URS,Gymnastics at the 1952 Summer Olympics - Women's Balance Beam,1,Nina Bocharova
BLR,Freestyle Skiing at the 2006 Winter Olympics – Men's Aerials,2,Dmitri Dashchinski
GER,Handball at the 2004 Summer Olympics - Men's handball,2,Stefan Kretzschmar;Markus Baur;Henning Fritz
NOR,Cross Country Skiing at the 1984 Winter Olympics - Women's 5km,2,Berit Aunli
GER,Alpine Skiing at the 1960 Winter Olympics - Women's Downhill,1,Heidi Biebl
GBR,Swimming at the 1988 Summer Olympics - Men's 100 metre butterfly,3,Andrew Jameson
HUN,Swimming at the 1992 Summer Olympics - Men's 100 metre breaststroke,2,Norbert Rózsa
USA,Gymnastics at the 1904 Summer Olympics - Men's rings,1,Herman Glass
FIN,Gymnastics at the 1948 Summer Olympics - Men's Vault,1,Paavo Aaltonen
USA,Athletics at the 1956 Summer Olympics - Men's 400 metre hurdles,2,Eddie Southern
FRA,Athletics at the 1948 Summer Olympics – Men's 800 metres,3,Marcel Hansenne
CAN,Athletics at the 1936 Summer Olympics – Men's 400 metre hurdles,2,John Loaring
NOR,Speed Skating at the 1932 Winter Olympics - Men's 500m,2,Bernt Evensen
AUS,Swimming at the 1960 Summer Olympics – Men's 400 metre freestyle,3,John Konrads
GBR,Athletics at the 1908 Summer Olympics - Men's 1500 metres,3,Norman Hallows
RUS,Gymnastics at the 1996 Summer Olympics – Women's rhythmic individual all-around,2,Ianina Batyrchina
USA,Boxing at the 1904 Summer Olympics - Heavyweight,3,William Michaels
PUR,Boxing at the 1984 Summer Olympics - Middleweight,3,Aristides González
USA,Skeleton at the 1948 Winter Olympics - Men's Skeleton,2,John Heaton
NGR,Boxing at the 1992 Summer Olympics - Heavyweight,2,David Izonritei
ROU,Gymnastics at the 1996 Summer Olympics – Women's artistic individual all-around,3,Lavinia Milo?ovici
AUS,Swimming at the 1980 Summer Olympics - Men's 100 metre breaststroke,3,Peter Evans
POL,Boxing at the 1976 Summer Olympics - Light Welterweight,3,Kazimierz Szczerba
CAN,Shooting at the 1908 Summer Olympics - Trap,2,George Beattie
FIN,Cross-Country Skiing at the 1984 Winter Olympics - Men's 15km,3,Harri Kirvesniemi
USA,Athletics at the 1904 Summer Olympics - Men's pole vault,2,LeRoy Samse
USA,Alpine skiing at the 1952 Winter Olympics - Women's giant slalom,1,Andrea Mead-Lawrence
FRA,Cycling at the 1980 Summer Olympics - Men's Sprint,2,Yave Cahard
FRA,Alpine Skiing at the 1998 Winter Olympics -Men's Downhill,1,Jean-Luc Crétier
GBR,Rowing at the 1912 Summer Olympics - Men's single sculls,1,William Kinnear
URS,Wrestling at the 1980 Summer Olympics - Men's Greco-Roman Super Heavyweight,1,Aleksandr Kolchinsky
CAN,Alpine Skiing at the 1980 Winter Olympics - Men's Downhill,3,Steve Podborski
TUR,Wrestling at the 1960 Summer Olympics - Men's Freestyle Light Heavyweight,1,?smet Atl?
SUI,Skeleton at the 2006 Winter Olympics – Women's Skeleton,1,Maya Pedersen-Bieri
NED,Canoeing at the 1972 Summer Olympics - Women's K-1 500 metres,2,Mieke Jaapies
JPN,Wrestling at the 1956 Summer Olympics - Men's Freestyle Featherweight,1,Shozo Sasahara
YUG,Wrestling at the 1976 Summer Olympics - Men's Greco-Roman Middleweight,1,Momir Petkovic
USA,Athletics at the 1900 Summer Olympics - Men's standing high jump,1,Ray Ewry
URS,Archery  at the 1976 Summer Olympics - Women's Individual,2,Valentyna Kovpan
SWE,Athletics at the 1908 Summer Olympics - Men's javelin throw,1,Eric Lemming
HUN,Athletics at the 1968 Summer Olympics - Women's Pentathlon,3,Annamária Tóth
SWE,Athletics at the 1908 Summer Olympics - Men's 5 miles,3,Johan Svanberg
GDR,Swimming at the 1976 Summer Olympics - Women's 100 metre freestyle,2,Petra Priemer
CUB,Boxing at the 1976 Summer Olympics - Flyweight,2,Ramón Duvalón
POL,Wrestling at the 1972 Summer Olympics - Men's Greco-Roman Featherweight,3,Kazimierz Lipie?
ITA,Equestrian at the 1972 Summer Olympics - Jumping; Individual,1,Graziano Mancinelli
SWE,Alpine Skiing at the 1992 Winter Olympics - Women's Giant Slalom,1,Pernilla Wiberg
NOR,Cross Country Skiing at the 1994 Winter Olympics - Women's 30km,2,Marit Mikkelsplass
HUN,Athletics at the 1900 Summer Olympics - Men's discus throw,1,Rudolf Bauer
SWE,Athletics at the 1996 Summer Olympics - Women's 100 metres hurdles,1,Ludmila Engquist
RUS,Fencing at the 1996 Summer Olympics - Men's Épée; Individual,1,Aleksandr Beketov
FIN,Athletics at the 1956 Summer Olympics - Men's marathon,3,Veikko Karvonen
FRA,Judo at the 1992 Summer Olympics - Heavyweight Men,3,David Douillet
RUS,Swimming at the 1996 Summer Olympics - Men's 200 metre breaststroke,3,Andrey Korneyev
IRI,Wrestling at the 1952 Summer Olympics - Men's Freestyle Lightweight,3,Jahanbakht Tofiq
URS,Archery at the 1980 Summer Olympics - Men's Individual,2,Boris Isachenko
KOR,Boxing at the 1952 Summer Olympics - Bantamweight,3,Kang Joon-Ho
FRA,Archery at the 1900 Summer Olympics - Au Chapelet 50 metres,1,Eugène Mougin
USA,Athletics at the 1904 Summer Olympics - Men's marathon,2,Albert Coray
CUB,Judo at the 1980 Summer Olympics - Men's Half Middleweight (78kg),2,Juan Ferrer
