Iocode,event,medal,medalist
USA,Athletics at the 1948 Summer Olympics - Men's shot put,2,Francis James Delaney
GBR,Athletics at the 1964 Summer Olympics - Women's 400 metres,2,Ann Packer
SWE,Speed Skating at the 1956 Winter Olympics - Men's 10000m,1,Sigvard Ericsson
FRA,Cycling at the 1936 Summer Olympics - Men's individual road race,2,Guy Lapébie
USA,Shooting at the 1896 Summer Olympics - Men's 25 metre military pistol,2,Sumner Paine
RUS,Biathlon at the 2006 Winter Olympics – Women's pursuit,3,Albina Akhatova
HUN,Athletics at the 1948 Summer Olympics – Women's long jump,1,Olga Gyarmati
CAN,Speed skating at the 1998 Winter Olympics - Women's 500m,2,Susan Auch
CHN,Shooting at the 1988 Summer Olympics - Men's 10 metre air pistol,3,Xu Haifeng
SWE,Athletics at the 1984 Summer Olympics - Men's High Jump,2,Patrik Sjöberg
NGR,Athletics at the 2008 Summer Olympics - Women's Long Jump,3,Blessing Okagbare
AUS,Athletics at the 2008 Summer Olympics - Men's 50 km walk,2,Jared Tallent
IRI,Wrestling at the 1996 Summer Olympics - Men's freestyle Middleweight,3,Amir Reza Khadem Azghadi
ARG,Boxing at the 1996 Summer Olympics – Featherweight,3,Pablo Chacón
SWE,Equestrian at the 1956 Summer Olympics - Individual Eventing,1,Petrus Kastenman
BEL,Boxing at the 1924 Summer Olympics - Men's welterweight,1,Jean DeLarge
USA,Athletics at the 1948 Summer Olympics – Men's javelin throw,2,Steve Seymour
RSA,Boxing at the 1924 Summer Olympics - Bantamweight,1,William Smith
AUS,Swimming at the 1924 Summer Olympics - Men's 1500 metre freestyle,3,Frank Beaurepaire
RUS,Boxing at the 2008 Summer Olympics - Flyweight,3,Georgy Balakshin
EUA,Athletics at the 1960 Summer Olympics - Men's 10000 metres,2,Hans Grodotzki
URS,Speed Skating at the 1976 Winter Olympics - Women's 1500m,3,Tatyana Averina
KOR,Wrestling at the 1988 Summer Olympics - Men's Greco-Roman Lightweight,2,Sung-Moon Kim
DEN,Swimming at the 1908 Summer Olympics - Men's 100 metre backstroke,2,Hans Daams
ITA,Athletics at the 1908 Summer Olympics - Men's 800 metres,2,Emilio Lunghi
CAN,Athletics at the 1988 Summer Olympics - Men's Decathlon,3,Dave Steen
IRI,Wrestling at the 1968 Summer Olympics - Men's Freestyle Lightweight,1,Abdollah Movahed
UGA,Boxing at the 1968 Summer Olympics - Flyweight,3,Leo Rwabwogo
URS,Weightlifting at the 1976 Summer Olympics - Men's Heavyweight  90-110 kg,1,Yuri Zaitsev
